,RANK,SEAT CATEGORY,Allotment
42,751,OC_GIRLS_UR,CVRH_CSE
43,755,OC_GEN_OU,JNTH_CSE
44,756,EWS_GEN_UR,CVRH_CSE
45,758,OC_GEN_OU,CBIT_CSM
46,760,OC_GEN_UR,CBIT_CSE
47,766,OC_GEN_UR,IARE_CSE
48,771,OC_GEN_UR,SNIS_CSE
49,776,OC_GIRLS_OU,CBIT_CSE
50,781,OC_GEN_UR,INDU_CSE
51,787,OC_GEN_OU,JNTH_CSE
52,800,OC_GEN_OU,JNTH_CSE
53,801,OC_GIRLS_UR,VASV_CSM
54,811,BC_D_GIRLS_UR,JNTH_ECE
55,815,OC_GIRLS_OU,JNTH_CSE
56,825,OC_GIRLS_UR,GNTW_CSE
57,834,OC_GEN_OU,JNTH_CSE
58,835,OC_GIRLS_OU,JNTH_CSE
59,841,OC_GIRLS_OU,JNTH_CSE
60,854,BC_B_GEN_OU,CBIT_CSE
61,856,OC_GEN_OU,VJEC_CSE
62,858,BC_E_GEN_OU,OUCE_CSE
63,868,ST_CAP_GEN_UR(0),MVSR_CSE
64,876,OC_GEN_UR,JNTH_CSE
65,878,EWS_GEN_OU,CBIT_CSE
66,887,EWS_GEN_UR,CVRH_CSE
67,888,OC_GIRLS_UR,VJEC_CSE
68,890,OC_GEN_OU,JNTH_CSE
69,894,EWS_GEN_OU,JNTH_CSE
70,896,OC_GEN_UR,CVRH_CSE
71,897,OC_GEN_UR,CBIT_CSE
72,900,OC_GEN_OU,OUCE_CSE
73,909,EWS_GEN_UR,VJEC_CSE
74,910,EWS_GEN_OU,CBIT_CSE
75,919,EWS_GEN_OU,CBIT_CSE
76,926,OC_GIRLS_UR,CVRH_CSE
77,927,BC_B_GEN_OU,CBIT_CSM
78,929,OC_GEN_UR,CBIT_CSE
79,930,OC_GEN_UR,MVSR_CSE
80,931,BC_B_GIRLS_OU,CBIT_CSE
81,939,EWS_GEN_UR,JNTH_CSE
82,955,OC_GEN_OU,JNTH_CSE
83,957,OC_GIRLS_UR,GNTW_CSE
84,961,EWS_GEN_UR,MVSR_CSE
85,964,ST_GEN_UR,JNTM_MIN
86,973,OC_GIRLS_UR,GNTW_CSE
87,974,OC_GEN_UR,MVSR_INF
88,988,OC_GIRLS_OU,CBIT_CSM
89,989,BC_D_GEN_UR,OUCE_CSE
90,991,OC_GEN_OU,OUCE_CSE
91,996,BC_B_GIRLS_OU,JNTH_CSE
92,997,BC_A_CAP_GEN_UR(4),JNTH_CSE
93,1000,OC_GEN_UR,CVRH_INF
94,1002,OC_GIRLS_OU,CBIT_CSE
95,1014,OC_GIRLS_OU,CBIT_CSE
96,1016,OC_GEN_OU,JNTH_ECE
97,1018,OC_GEN_OU,CBIT_CSE
98,1023,BC_D_GEN_OU,JNTH_CSE
99,1026,BC_E_GEN_OU,JNTH_CSE
100,1037,EWS_GEN_OU,CBIT_CSE
101,1045,OC_GEN_UR,CVRH_CSE
102,1058,BC_B_GIRLS_OU,JNTH_CSE
103,1063,OC_GEN_OU,CBIT_CSE
104,1072,BC_D_GEN_OU,CBIT_CSE
105,1076,OC_GEN_OU,CVRH_CSE
106,1079,OC_GEN_OU,JNTH_CSE
107,1082,BC_B_GEN_UR,CBIT_CSE
108,1083,BC_B_GEN_UR,CBIT_CSE
109,1087,BC_B_GEN_UR,VJEC_CSE
110,1093,BC_B_GEN_OU,JNTH_CSE
111,1095,EWS_GEN_UR,CBIT_CSE
112,1099,OC_GEN_UR,MVSR_INF
113,1102,EWS_GEN_UR,VASV_CSE
114,1103,BC_D_GEN_UR,CVRH_CSE
115,1109,OC_GEN_UR,CBIT_CSM
116,1110,BC_D_GEN_UR,MVSR_CSE
117,1116,OC_GEN_OU,JNTH_CSE
118,1120,OC_GEN_OU,CBIT_CSE
119,1128,OC_GEN_OU,JNTH_CSE
120,1136,EWS_GEN_UR,CVRH_CSC
121,1148,OC_GEN_UR,CVRH_CSE
122,1150,OC_GEN_OU,CBIT_CSE
123,1151,OC_GEN_UR,SNIS_CSE
124,1157,BC_A_GEN_UR,CBIT_CSE
125,1167,OC_GEN_OU,CBIT_CSE
126,1168,OC_GEN_UR,CVRH_CSD
127,1173,OC_GIRLS_OU,JNTH_CSE
128,1174,OC_GIRLS_OU,CBIT_CIC
129,1184,OC_GEN_UR,CBIT_CSE
130,1190,OC_GEN_UR,INDU_CSE
131,1191,EWS_GEN_UR,CBIT_CSE
132,1192,BC_B_GIRLS_OU,CBIT_CSM
133,1194,OC_GEN_UR,JNTH_ECE
134,1196,OC_GEN_OU,JNTH_CSE
135,1197,OC_GEN_OU,JNTH_CSE
136,1199,OC_GEN_OU,JNTH_CSE
137,1207,BC_B_GEN_OU,JNTH_CSE
138,1211,OC_GEN_OU,VJEC_CSE
139,1213,OC_CAP_GEN_UR(0),INDU_CSI
140,1222,OC_GIRLS_UR,GNTW_CSE
141,1239,OC_GIRLS_OU,JNTH_CSE
142,1243,OC_GEN_OU,VJEC_CSE
143,1244,OC_GEN_OU,CBIT_CSM
144,1246,OC_GIRLS_OU,VASV_CSE
145,1249,OC_GEN_UR,CBIT_AID
146,1251,OC_GIRLS_UR,BVRW_CSE
147,1252,OC_GEN_OU,CBIT_CSE
148,1259,EWS_GIRLS_OU,CBIT_CSE
149,1261,OC_GEN_OU,MVSR_CSE
150,1263,OC_GEN_OU,CBIT_CSE
151,1264,OC_GIRLS_OU,VJEC_CSE
152,1269,EWS_GEN_OU,OUCE_CSE
153,1270,OC_GIRLS_UR,CBIT_CSE
154,1282,OC_GEN_UR,KMIT_CSE
155,1283,OC_GEN_OU,CBIT_CSM
156,1284,OC_GEN_UR,JNTS_CSE
157,1291,EWS_GEN_OU,JNTH_CSE
158,1296,BC_A_GIRLS_UR,JNTH_CSE
159,1303,BC_D_GEN_OU,CBIT_CSE
160,1304,OC_GEN_OU,CBIT_CSE
161,1305,OC_GIRLS_UR,KMIT_CSE
162,1306,BC_B_GEN_UR,JNTH_ECE
163,1309,EWS_GIRLS_OU,JNTH_CSE
164,1312,OC_GEN_UR,OUCE_CSE
165,1319,OC_GEN_OU,CBIT_CSE
166,1322,BC_B_GEN_UR,CVRH_CSE
167,1324,OC_GEN_UR,VJEC_CSE
168,1325,OC_GEN_UR,CBIT_CSM
169,1326,BC_B_GEN_OU,JNTH_CSE
170,1327,OC_GEN_UR,CBIT_CIC
171,1329,BC_B_GEN_OU,OUCE_CSE
172,1331,BC_D_GIRLS_OU,JNTH_CSE
173,1333,OC_GEN_OU,CBIT_CSE
174,1334,ST_GEN_UR,CVRH_CSE
175,1337,BC_A_GEN_OU,JNTH_CSE
176,1339,BC_B_GEN_OU,OUCE_CSE
177,1347,EWS_GEN_UR,CBIT_CIC
178,1354,OC_CAP_GEN_UR(4),CBIT_CSE
179,1355,OC_GEN_UR,JNTH_ECE
180,1356,OC_GEN_OU,CBIT_CSE
181,1360,OC_GIRLS_OU,VJEC_CSE
182,1361,OC_GEN_UR,CBIT_INF
183,1367,BC_D_GEN_OU,JNTH_CSE
184,1368,OC_GIRLS_UR,VASV_CSE
185,1380,OC_GEN_OU,CBIT_CSE
186,1390,OC_GEN_OU,CBIT_CSM
187,1397,EWS_GEN_UR,VJEC_CSE
188,1398,OC_GIRLS_OU,JNTH_CSE
189,1402,OC_GEN_UR,CVRH_CSM
190,1404,BC_A_GIRLS_UR,GNTW_CSE
191,1409,OC_GIRLS_OU,CBIT_CSE
192,1410,OC_GIRLS_UR,CBIT_CSE
193,1412,OC_GIRLS_OU,VJEC_CSE
194,1418,OC_GIRLS_UR,GRRR_CSE
195,1419,EWS_GEN_OU,JNTH_CSE
196,1421,BC_D_GEN_OU,CBIT_CSE
197,1429,OC_GIRLS_OU,CBIT_CSE
198,1442,EWS_GEN_OU,JNTH_CSE
199,1444,OC_GEN_UR,CVRH_CSD
200,1445,BC_E_GEN_UR,JNTH_CSE
201,1446,OC_GEN_OU,VJEC_CSM
202,1450,OC_GIRLS_OU,VJEC_CSE
203,1453,EWS_GEN_UR,OUCE_CSE
204,1456,BC_B_GIRLS_UR,CBIT_CSE
205,1458,BC_B_GEN_UR,OUCE_CSE
206,1460,OC_GEN_OU,CBIT_CSE
207,1462,BC_B_GEN_OU,JNTH_CSE
208,1463,OC_GEN_UR,SNIS_CSE
209,1467,OC_GEN_UR,CBIT_INF
210,1469,OC_GIRLS_UR,VJEC_CSE
211,1474,BC_B_GEN_OU,CBIT_CSE
212,1479,BC_B_GIRLS_UR,CBIT_CSE
213,1480,OC_GEN_OU,VASV_CSE
214,1481,OC_GIRLS_OU,CBIT_CSE
215,1486,OC_GIRLS_OU,OUCE_CSE
216,1489,OC_GEN_OU,CBIT_CSE
217,1490,OC_GIRLS_OU,CBIT_CSM
218,1494,OC_GEN_UR,MVSR_INF
219,1496,OC_GIRLS_UR,JNTH_ECE
220,1497,BC_D_GEN_UR,VJEC_CSE
221,1499,OC_GEN_OU,JNTH_ECE
222,1515,OC_GIRLS_OU,OUCE_CSE
223,1517,OC_GEN_UR,KITS_CSE
224,1527,OC_GEN_UR,CBIT_AID
225,1535,EWS_GIRLS_UR,VJEC_CSM
226,1538,OC_GEN_OU,VASV_CSE
227,1540,OC_GEN_UR,VJEC_CSC
228,1548,BC_A_GEN_OU,JNTH_CSE
229,1549,BC_B_GEN_UR,CVRH_CSE
230,1553,OC_GEN_UR,VJEC_CSE
231,1554,OC_GEN_OU,VJEC_CSE
232,1557,OC_GEN_UR,VJEC_CSE
233,1560,OC_GEN_OU,CVRH_CSE
234,1564,BC_B_GEN_UR,VJEC_CSE
235,1571,OC_GEN_UR,GRRR_CSE
236,1572,OC_GEN_UR,VJEC_CSM
237,1574,OC_GEN_OU,VASV_CSE
238,1575,OC_GEN_OU,VASV_CSE
239,1581,OC_GEN_OU,OUCE_CSE
240,1586,BC_D_GEN_OU,CBIT_CSE
241,1590,BC_B_GEN_UR,OUCE_CSE
242,1595,OC_GEN_OU,OUCE_CSE
243,1598,OC_GEN_UR,VJEC_CSE
244,1602,OC_GEN_OU,CBIT_CSE
245,1604,EWS_GIRLS_UR,VJEC_CSM
246,1605,BC_D_GEN_UR,OUCE_CSE
247,1607,OC_GEN_UR,GRRR_CSE
248,1608,EWS_GEN_OU,CBIT_CSM
249,1611,BC_D_GEN_OU,CBIT_CSE
250,1613,OC_GIRLS_OU,VJEC_CSE
251,1617,BC_E_GEN_UR,VASV_CSE
252,1622,BC_B_GEN_OU,CBIT_CSM
253,1623,OC_GEN_OU,MVSR_CSE
254,1630,OC_GEN_OU,CBIT_CSE
255,1641,BC_D_GEN_OU,OUCE_CSE
256,1644,BC_D_GEN_OU,VASV_CSE
257,1647,BC_E_GIRLS_OU,OUCE_CSE
258,1649,OC_GEN_OU,CBIT_INF
259,1651,OC_GEN_OU,MVSR_CSE
260,1653,BC_A_GEN_OU,CBIT_CSE
261,1655,OC_GEN_OU,OUCE_CSE
262,1659,EWS_GEN_UR,CBIT_INF
263,1663,OC_GEN_OU,OUCE_CSE
264,1664,BC_D_GEN_OU,VASV_CSE
265,1671,OC_GIRLS_OU,GNTW_CSM
266,1677,EWS_GIRLS_OU,CBIT_CSM
267,1678,OC_GIRLS_OU,OUCE_CSE
268,1682,OC_GEN_OU,OUCE_CSE
269,1695,OC_GEN_OU,CBIT_CSE
270,1696,BC_D_GEN_OU,OUCE_CSE
271,1704,OC_GIRLS_OU,VJEC_CSE
272,1709,OC_GIRLS_OU,VASV_CSE
273,1715,BC_A_GEN_OU,CBIT_CSE
274,1719,OC_GEN_UR,VJEC_CSE
275,1720,OC_GEN_UR,VJEC_CSD
276,1729,BC_B_GIRLS_OU,CBIT_CSE
277,1732,EWS_GEN_OU,CBIT_CSM
278,1737,BC_D_GEN_OU,JNTH_ECE
279,1738,OC_GEN_OU,VJEC_CSM
280,1739,OC_GIRLS_OU,VJEC_CSE
281,1740,BC_B_GEN_OU,CBIT_CSE
282,1745,OC_GEN_UR,CBIT_CIC
283,1752,OC_GEN_OU,OUCE_CSE
284,1753,OC_GEN_OU,CBIT_CSM
285,1754,BC_D_GEN_OU,VASV_CSE
286,1758,EWS_GEN_UR,KMIT_CSE
287,1759,BC_B_GEN_OU,CBIT_CSM
288,1760,OC_GIRLS_OU,VASV_CSE
289,1761,OC_GEN_UR,CBIT_ECE
290,1762,OC_GIRLS_OU,VJEC_CSM
291,1764,OC_GEN_OU,VASV_CSE
292,1766,OC_GIRLS_UR,GNTW_CSE
293,1769,OC_GEN_OU,VASV_CSE
294,1771,BC_D_GIRLS_OU,CBIT_CSE
295,1776,EWS_GIRLS_OU,VJEC_CSE
296,1778,BC_B_GEN_OU,CBIT_CSE
297,1780,OC_GIRLS_UR,VMEG_CSE
298,1781,EWS_GIRLS_OU,OUCE_CSE
299,1782,BC_B_GIRLS_OU,CBIT_CSE
300,1783,BC_B_GEN_OU,VJEC_CSM
301,1786,OC_GIRLS_UR,GNTW_CSE
302,1794,EWS_GEN_UR,JNTH_EEE
303,1798,BC_D_GIRLS_OU,OUCE_CSE
304,1800,EWS_GEN_OU,VJEC_CSE
305,1806,OC_GEN_UR,VMEG_CSE
306,1809,OC_GEN_UR,VASV_CSM
307,1811,OC_GIRLS_OU,CBIT_CSE
308,1813,OC_GEN_UR,BVRI_CSE
309,1814,OC_GIRLS_UR,CBIT_ECE
310,1818,OC_GEN_OU,CBIT_CSM
311,1822,OC_GEN_UR,CBIT_INF
312,1824,BC_B_GEN_OU,CBIT_CSE
313,1830,EWS_GEN_OU,VJEC_CSE
314,1831,EWS_GEN_OU,OUCE_CSE
315,1835,OC_GIRLS_OU,CBIT_CIC
316,1856,OC_GEN_OU,CVRH_CSE
317,1857,OC_GIRLS_UR,CBIT_AID
318,1858,BC_B_GEN_OU,CBIT_CSE
319,1859,BC_B_GEN_OU,CBIT_CSE
320,1861,OC_GEN_UR,VJEC_CSM
321,1864,BC_A_GEN_OU,JNTH_ECE
322,1867,OC_GEN_UR,KMIT_CSE
323,1868,OC_GEN_UR,IARE_CSE
324,1869,EWS_GEN_OU,OUCE_CSE
325,1872,BC_D_GEN_UR,VJEC_CSE
326,1873,BC_D_GEN_OU,JNTH_EEE
327,1875,BC_B_GEN_OU,OUCE_CSE
328,1878,OC_GIRLS_UR,GRRR_CSE
329,1879,OC_GEN_OU,VASV_CSE
330,1881,OC_GEN_UR,IARE_CSE
331,1886,EWS_GEN_OU,VJEC_CSM
332,1890,OC_GEN_OU,CVRH_CSM
333,1894,OC_GEN_UR,GRRR_CSE
334,1905,OC_GIRLS_UR,GNTW_CSM
335,1906,BC_B_GEN_OU,VJEC_CSE
336,1911,OC_GIRLS_OU,CBIT_CSM
337,1913,OC_GIRLS_OU,VJEC_CSE
338,1914,EWS_GEN_OU,CBIT_CSE
339,1915,OC_GEN_OU,VJEC_CSE
340,1921,OC_GEN_OU,CVRH_CSM
341,1931,OC_GEN_OU,VASV_CSE
342,1934,BC_D_GEN_UR,CBIT_CSM
343,1944,BC_B_GEN_UR,VASV_CSM
344,1945,OC_SG_GEN_OU(127),JNTH_ECE
345,1948,EWS_GEN_OU,VASV_CSE
346,1949,BC_D_GEN_OU,OUCE_CSE
347,1952,EWS_GEN_OU,JNTH_ECE
348,1954,OC_GEN_UR,BVRI_CSE
349,1957,BC_E_GEN_OU,CBIT_CSM
350,1960,BC_B_GEN_UR,VJEC_CSD
351,1961,BC_E_GIRLS_OU,CBIT_CSM
352,1962,EWS_GIRLS_OU,VJEC_CSE
353,1964,OC_GEN_UR,VMEG_CSM
354,1966,OC_GEN_OU,VASV_CSE
355,1968,OC_GEN_OU,CVRH_CSE
356,1970,EWS_GIRLS_OU,VASV_CSE
357,1971,BC_B_GIRLS_UR,CBIT_ECE
358,1972,OC_GEN_OU,CBIT_AID
359,1978,BC_B_GEN_OU,OUCE_CSE
360,1981,BC_D_GEN_OU,VASV_CSE
361,1987,OC_GEN_OU,CBIT_AID
362,1993,OC_GEN_OU,OUCE_EEE
363,1995,EWS_GEN_UR,CBIT_AID
364,1998,OC_GEN_UR,IARE_CSE
365,2003,BC_D_GEN_UR,VJEC_CSM
366,2004,OC_GIRLS_UR,GNTW_CSM
367,2010,BC_D_GEN_OU,CBIT_CSE
368,2011,BC_D_GEN_OU,VJEC_CSE
369,2021,BC_B_GEN_OU,CBIT_CSE
370,2024,BC_D_GEN_UR,VASV_CSE
371,2025,EWS_GIRLS_OU,JNTH_CSE
372,2026,EWS_GEN_OU,VJEC_CSD
373,2028,BC_E_GEN_UR,CBIT_CSE
374,2029,BC_B_GIRLS_OU,CBIT_CSE
375,2034,BC_B_GIRLS_UR,VJEC_CSE
376,2035,BC_D_GEN_OU,CBIT_CSE
377,2039,OC_GIRLS_OU,GNTW_CSE
378,2042,OC_GEN_OU,VJEC_CSE
379,2054,EWS_GEN_OU,OUCE_CSE
380,2056,BC_D_GEN_OU,VASV_CSE
381,2058,EWS_GEN_OU,VASV_CSE
382,2063,EWS_GIRLS_UR,GNTW_CSE
383,2065,OC_GIRLS_OU,CBIT_CIC
384,2066,OC_GEN_OU,VJEC_CSB
385,2072,OC_GEN_OU,VASV_CSE
386,2074,BC_A_GEN_OU,CBIT_CSE
387,2080,OC_GEN_OU,JNTH_ECE
388,2088,OC_GIRLS_UR,KMIT_CSE
389,2096,BC_D_GEN_OU,VJEC_CSE
390,2098,OC_GEN_OU,VASV_CSE
391,2103,BC_B_GEN_UR,CBIT_AID
392,2105,OC_GIRLS_OU,VJEC_CSE
393,2106,OC_GEN_UR,KMIT_CSE
394,2109,BC_B_GEN_OU,CBIT_CSE
395,2112,BC_D_GEN_OU,CBIT_CIC
396,2115,OC_GEN_OU,VJEC_CSE
397,2121,OC_GIRLS_OU,VASV_CSE
398,2122,OC_GEN_OU,CVRH_CSE
399,2125,OC_GEN_UR,CBIT_INF
400,2126,OC_GIRLS_UR,BVRW_CSE
401,2135,BC_D_GEN_UR,MVSR_INF
402,2141,OC_GIRLS_OU,JNTH_ECE
403,2143,OC_GEN_OU,VJEC_CSE
404,2146,EWS_GIRLS_OU,VASV_CSE
405,2153,OC_GEN_OU,VJEC_CSE
406,2154,OC_GEN_UR,JNTH_EEE
407,2159,EWS_GEN_OU,JNTH_ECE
408,2161,OC_GIRLS_OU,JNTH_ECE
409,2163,EWS_GIRLS_OU,VASV_CSM
410,2164,BC_D_GEN_OU,OUCE_CSE
411,2165,OC_GEN_OU,VJEC_CSE
412,2168,OC_GEN_UR,MGIT_CSM
413,2171,BC_D_GEN_UR,SNIS_CSE
414,2177,OC_GIRLS_OU,VJEC_CSM
415,2178,EWS_GEN_OU,VJEC_CSC
416,2181,OC_GEN_UR,KMIT_CSE
417,2183,BC_A_GEN_UR,OUCE_CSE
418,2184,OC_GEN_UR,GRRR_CSE
419,2186,OC_GEN_UR,SNIS_CSE
420,2189,OC_GEN_UR,GRRR_CSE
421,2190,OC_GEN_OU,MVSR_CSE
422,2195,BC_B_GEN_UR,SNIS_CSE
423,2197,BC_D_GEN_OU,JNTH_ECE
424,2198,EWS_GIRLS_OU,VJEC_CSE
425,2204,MUS_GEN_UR,MJCT_CSE
426,2206,OC_GIRLS_UR,CBIT_INF
427,2208,EWS_GIRLS_UR,VJEC_CSD
428,2209,OC_GEN_OU,VJEC_CSE
429,2211,EWS_GIRLS_OU,VJEC_CSM
430,2217,OC_GEN_OU,VJEC_CSE
431,2218,OC_GEN_OU,GRRR_CSE
432,2221,BC_B_GEN_OU,CBIT_CIC
433,2224,BC_B_GEN_OU,OUCE_CSE
434,2226,BC_B_GIRLS_OU,CBIT_CSE
435,2230,OC_GIRLS_UR,CVRH_CSE
436,2234,EWS_GIRLS_OU,CBIT_CSE
437,2235,OC_GEN_OU,VJEC_CSE
438,2237,OC_GEN_UR,CVRH_CSI
439,2242,OC_GEN_OU,CVRH_CSE
440,2245,OC_GEN_OU,CVRH_CSE
441,2247,BC_B_GEN_UR,VJEC_CSM
442,2251,BC_D_GEN_OU,VJEC_CSM
443,2252,OC_GEN_UR,IARE_ECE
444,2255,OC_GEN_OU,VJEC_CSE
445,2258,OC_GEN_OU,VJEC_CSE
446,2259,EWS_GIRLS_OU,CBIT_CSE
447,2260,OC_GEN_OU,VJEC_CSE
448,2261,OC_GEN_UR,KMIT_CSE
449,2263,OC_GEN_OU,JNTH_ECE
450,2266,OC_GIRLS_UR,MGIT_CSE
451,2267,OC_GEN_UR,VASV_INF
452,2268,OC_GIRLS_OU,VJEC_CSE
453,2274,OC_GIRLS_OU,GNTW_CSE
454,2276,BC_B_GEN_UR,CVRH_CSM
455,2278,BC_C_GIRLS_OU,JNTH_CSE
456,2279,OC_GEN_OU,OUCE_ECE
457,2282,BC_A_GIRLS_OU,CBIT_CSE
458,2283,OC_GEN_OU,VJEC_CSB
459,2287,BC_E_GEN_OU,CBIT_CIC
460,2291,BC_A_GEN_OU,CBIT_CSE
461,2292,BC_D_GIRLS_OU,CBIT_CSE
462,2293,OC_GEN_OU,VJEC_CSE
463,2294,OC_GEN_OU,VJEC_CSE
464,2295,OC_GIRLS_OU,JNKR_CSE
465,2305,OC_GEN_OU,VJEC_CSE
466,2315,BC_A_GEN_UR,VJEC_CSM
467,2318,OC_GEN_UR,VJEC_INF
468,2321,EWS_GEN_OU,VJEC_CSE
469,2322,OC_GEN_UR,VJEC_CSM
470,2325,OC_GEN_OU,JNTH_ECE
471,2327,BC_E_GIRLS_UR,OUCE_CSE
472,2330,OC_GEN_UR,KMIT_CSE
473,2331,EWS_GEN_OU,CBIT_CSE
474,2334,BC_A_GEN_OU,CBIT_CSE
475,2341,EWS_GIRLS_OU,CBIT_CSE
476,2343,BC_B_GEN_OU,VJEC_CSE
477,2344,OC_GEN_OU,VASV_ECE
478,2349,BC_D_GEN_UR,CVRH_CSD
479,2350,OC_GIRLS_UR,VJEC_CSD
480,2353,BC_B_GEN_OU,VASV_CSE
481,2358,EWS_GEN_OU,VJEC_CSE
482,2360,BC_B_GEN_UR,JNTH_ECE
483,2362,BC_D_GEN_OU,OUCE_CSE
484,2365,BC_D_GEN_OU,VJEC_CSE
485,2367,EWS_GIRLS_OU,VJEC_CSE
486,2368,BC_B_GEN_OU,VJEC_CSE
487,2369,BC_E_PHH_GEN_OU,OUCE_CSE
488,2371,BC_A_GIRLS_OU,OUCE_CSE
489,2372,OC_GEN_OU,MVSR_CSE
490,2375,EWS_GEN_OU,CBIT_CSE
491,2376,BC_D_GEN_OU,CBIT_CSE
492,2377,OC_GEN_UR,VASV_INF
493,2379,BC_D_GIRLS_OU,VJEC_CSE
494,2380,OC_GEN_OU,OUCE_ECE
495,2384,OC_GEN_OU,CVRH_CSE
496,2390,BC_B_GEN_OU,OUCE_CSE
497,2392,BC_B_GEN_OU,JNTH_ECE
498,2393,OC_GEN_UR,VJEC_CSM
499,2397,OC_GIRLS_OU,VASV_CSM
500,2398,EWS_GEN_OU,VJEC_CSC
501,2399,OC_GIRLS_UR,SNIS_CSE
502,2401,BC_B_GIRLS_OU,VJEC_CSE
503,2404,BC_D_GEN_UR,VMEG_CSE
504,2410,BC_E_GEN_UR,CBIT_INF
505,2411,OC_GIRLS_UR,GNTW_CSE
506,2413,BC_D_GIRLS_OU,CBIT_CSE
507,2416,EWS_GIRLS_OU,VJEC_CSE
508,2419,BC_B_GIRLS_UR,GNTW_CSE
509,2420,BC_B_GIRLS_OU,VJEC_CSE
510,2422,OC_GEN_OU,VJEC_CSM
511,2424,BC_B_GEN_OU,VJEC_CSD
512,2426,EWS_GEN_OU,VJEC_CSE
513,2427,BC_D_GEN_OU,VJEC_CSE
514,2431,OC_GIRLS_OU,CBIT_CIC
515,2433,OC_GIRLS_UR,GNTW_INF
516,2435,OC_GEN_OU,JNTH_ECE
517,2436,OC_GEN_OU,VJEC_CSM
518,2437,BC_B_GEN_OU,CBIT_INF
519,2441,OC_GEN_UR,KMIT_CSE
520,2443,OC_GIRLS_UR,BVRW_CSE
521,2445,EWS_GIRLS_UR,GNTW_CSE
522,2450,EWS_GEN_OU,CBIT_CSM
523,2455,BC_E_GIRLS_UR,VJEC_CSE
524,2456,BC_B_GIRLS_OU,CBIT_CSE
525,2457,BC_E_GEN_OU,CBIT_CSE
526,2460,BC_E_GEN_OU,CBIT_CSE
527,2463,OC_GEN_OU,VJEC_CSM
528,2465,BC_B_GEN_OU,CBIT_CSE
529,2470,OC_GEN_OU,VJEC_CSM
530,2472,OC_GEN_OU,JNTH_MEC
531,2474,OC_GEN_OU,CVRH_CSE
532,2476,EWS_GEN_UR,MVSR_INF
533,2478,OC_GEN_UR,KMIT_CSM
534,2485,BC_A_GEN_OU,CBIT_CSM
535,2487,BC_A_GEN_OU,VASV_CSE
536,2488,EWS_GEN_UR,CVRH_CSM
537,2489,EWS_GEN_OU,VJEC_CSE
538,2499,OC_GEN_OU,JNTH_MEC
539,2501,OC_GEN_OU,CBIT_CIC
540,2502,BC_D_GEN_UR,KMIT_CSE
541,2506,BC_B_GEN_OU,JNTH_ECE
542,2509,OC_GEN_OU,JNTH_ECE
543,2523,BC_B_GEN_OU,CBIT_CSE
544,2525,EWS_GIRLS_UR,JNTH_ECE
545,2526,BC_B_GEN_OU,OUCE_ECE
546,2529,BC_B_GEN_OU,CBIT_CSE
547,2533,BC_D_GEN_OU,CBIT_CSE
548,2536,OC_GEN_UR,GRRR_CSM
549,2537,OC_GEN_OU,CBIT_INF
550,2540,BC_D_GEN_OU,CBIT_CSM
551,2544,OC_GEN_OU,KMIT_CSE
552,2545,OC_GIRLS_UR,VJEC_ECE
553,2547,BC_A_GIRLS_OU,CBIT_CSE
554,2557,OC_GIRLS_UR,VJEC_CSM
555,2558,BC_B_GIRLS_OU,VJEC_CSE
556,2562,OC_GIRLS_OU,VJEC_CSE
557,2563,EWS_GIRLS_UR,CBIT_CSM
